SETTLEMENTDATE,DUID,SCADAVALUE
2026-03-17 00:00:00,ADPBA1,-0.012
2026-03-17 00:00:00,ADPPV1,0.0
2026-03-17 00:00:00,AGLHAL,30.01497
2026-03-17 00:00:00,AGLSOM,0.0
2026-03-17 00:00:00,ALDGASF1,0.0
2026-03-17 00:00:00,ANGAST1,0.0
2026-03-17 00:00:00,ARWF1,19.0
2026-03-17 00:00:00,AVLSF1,0.0
2026-03-17 00:00:00,BALB1,0.0
2026-03-17 00:00:00,BALDHWF1,3.57
2026-03-17 00:00:00,BANGOWF1,2.6978
2026-03-17 00:00:00,BANGOWF2,3.59922
2026-03-17 00:00:00,BANN1,0.0
2026-03-17 00:00:00,BARCALDN,0.0
2026-03-17 00:00:00,BARCSF1,0.1
2026-03-17 00:00:00,BARKIPS1,64.56
2026-03-17 00:00:00,BARRON-1,33.025
2026-03-17 00:00:00,BARRON-2,33.025
2026-03-17 00:00:00,BASTYAN,70.18
2026-03-17 00:00:00,BBATTERY1,-1.17196
2026-03-17 00:00:00,BBTHREE1,0.0
2026-03-17 00:00:00,BBTHREE2,0.0
2026-03-17 00:00:00,BBTHREE3,0.0
2026-03-17 00:00:00,BDL01,0.0
2026-03-17 00:00:00,BDL02,0.0
2026-03-17 00:00:00,BERYLSF1,0.0
2026-03-17 00:00:00,BHB1,-4.97711
2026-03-17 00:00:00,BLOWERNG,0.0
2026-03-17 00:00:00,BLUEGSF1,0.0
2026-03-17 00:00:00,BLUFF1,7.6
2026-03-17 00:00:00,BLYTHB1,0.23
2026-03-17 00:00:00,BNGSF1,0.0
2026-03-17 00:00:00,BNGSF2,0.0
2026-03-17 00:00:00,BOCORWF1,92.42
2026-03-17 00:00:00,BODWF1,3.76839
2026-03-17 00:00:00,BOLIVPS1,1e-05
2026-03-17 00:00:00,BOMENSF1,0.0
2026-03-17 00:00:00,BOWWBA1,0.0
2026-03-17 00:00:00,BOWWPV1,0.0
2026-03-17 00:00:00,BRAEMAR1,0.0
2026-03-17 00:00:00,BRAEMAR2,0.0
2026-03-17 00:00:00,BRAEMAR3,0.0
2026-03-17 00:00:00,BRAEMAR5,0.29206
2026-03-17 00:00:00,BRAEMAR6,0.0
2026-03-17 00:00:00,BRAEMAR7,0.0
2026-03-17 00:00:00,BRDDSF01,0.0
2026-03-17 00:00:00,BRNDBES1,1.0487
2026-03-17 00:00:00,BROKENH1,0.0
2026-03-17 00:00:00,BRYB1WF1,0.0
