DUID,Unit Name,Technology Type,Region,Dispatch Type,source
ADPBA1,ADPBA1,Battery Storage,SA1,Scheduled,AEMO Gen Info
ADPPV1,ADPPV1,Solar PV,SA1,Semi-scheduled,AEMO Gen Info
ADPPV2,ADPPV2,Solar PV,SA1,Semi-scheduled,AEMO Gen Info
ADVMH1,ADVMH1,Hydro,SA1,Non-scheduled,AEMO Gen Info
AGLHAL,Hallett GT1-2,Gas Turbine,SA1,Scheduled,AEMO Gen Info
AGLSOM,GT1,Gas Turbine,VIC1,Scheduled,AEMO Gen Info
ALDGASF1,ADSF_GU1,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
ANGAST1,Angaston:Units 1-30,Gas Turbine,SA1,Scheduled,AEMO Gen Info
APPIN,Appin:1-54,Gas Turbine,NSW1,Non-scheduled,AEMO Gen Info
ARWF1,Ararat Wind Farm:1-75,Wind,VIC1,Semi-scheduled,AEMO Gen Info
AVLSF1,AVSF1,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
BAKING1,Baking Board Solar Farm Chinchilla:1,Solar PV,QLD1,Non-scheduled,AEMO Gen Info
BALB1,Ballarat Energy Storage System:1,Battery Storage,VIC1,Scheduled,AEMO Gen Info
BALDHWF1,Bald Hills Wind Farm:1-52,Wind,VIC1,Semi-scheduled,AEMO Gen Info
BANGOWF1,Bango 973 Wind Farm:up to 30,Wind,NSW1,Semi-scheduled,AEMO Gen Info
BANGOWF2,Bango 999 Wind Farm,Wind,NSW1,Semi-scheduled,AEMO Gen Info
BANN1,Bannerton Solar Park,Solar PV,VIC1,Semi-scheduled,AEMO Gen Info
BAPS,Banimboola:1-2,Hydro,VIC1,Non-scheduled,AEMO Gen Info
BARCALDN,Barcaldine Power Station:1,Gas Turbine,QLD1,Scheduled,AEMO Gen Info
BARCSF1,Barcaldine Remote Community Solar Farm:1,Solar PV,QLD1,Non-scheduled,AEMO Gen Info
BARKIPS1,Barker Inlet Power Station:1-12,Gas Turbine,SA1,Scheduled,AEMO Gen Info
BARRON-1,Barron Gorge:1,Hydro,QLD1,Scheduled,AEMO Gen Info
BARRON-2,Barron Gorge:2,Hydro,QLD1,Scheduled,AEMO Gen Info
BASTYAN,Bastyan:1,Hydro,TAS1,Scheduled,AEMO Gen Info
BBATTERY1,BLDRCMB1,Battery Storage,QLD1,Scheduled,AEMO Gen Info
BBTHREE1,Bell Bay Three:1,Gas Turbine,TAS1,Scheduled,AEMO Gen Info
BBTHREE2,Bell Bay Three:2,Gas Turbine,TAS1,Scheduled,AEMO Gen Info
BBTHREE3,Bell Bay Three:3,Gas Turbine,TAS1,Scheduled,AEMO Gen Info
BDL01,Bairnsdale:1,Gas Turbine,VIC1,Scheduled,AEMO Gen Info
